metric,n_C121,n_I121,mean_C121,mean_I121,median_C121,median_I121,delta_mean_C121_minus_I121,cliffs_delta_C121_vs_I121,mannwhitneyu_pvalue
cell_volume,9,13,101892.03978519845,100841.85803521251,103999.88906450038,103386.786437927,1050.1817499859317,0.1282051282051282,0.6401805361005117
matthews_vm_est,9,13,2.1956480508303806,2.16594917948234,2.165761854577823,2.1783014745931313,0.029698871348040612,0.09401709401709402,0.7384623534985825
solvent_fraction_est,9,13,0.4353264470974166,0.42932714877899036,0.43207052178884797,0.4353398671642811,0.005999298318426216,0.09401709401709402,0.7384623534985825
crystal_contacts_atom,9,13,230.44444444444446,216.92307692307693,226.0,213.0,13.521367521367523,0.1282051282051282,0.6401805361005117
crystal_contacts_residue,9,13,51.666666666666664,48.46153846153846,50.0,50.0,3.2051282051282044,0.2222222222222222,0.40240701147217095
nearest_symmetry_atom_distance,9,13,1.737027058461269,1.963971001823995,1.2349384243105483,2.4444600630814075,-0.22694394336272605,-0.07692307692307693,0.7893827550332574
median_symmetry_atom_distance,9,13,16.743597745175325,16.757748863011685,16.73433886504035,16.742622279832993,-0.014151117836359361,-0.1794871794871795,0.5042736753035878
symmetry_contacts_within_nearest_cutoff,9,13,220307.77777777778,217325.6923076923,202676.0,216958.0,2982.085470085469,-0.008547008547008548,1.0
crystal_contacts_atom_per_1k_atoms,9,13,261.6767509598288,249.45588682269596,262.1809744779582,238.60021208907742,12.220864137132821,0.1111111111111111,0.6886643247682933
crystal_contacts_residue_per_1k_atoms,9,13,58.869015569575595,55.76794707477308,56.71296296296296,53.99568034557235,3.1010684948025116,0.19658119658119658,0.4626083472826239
crystal_contacts_atom_region_any,9,13,77.88888888888889,72.84615384615384,76.0,78.0,5.042735042735046,0.13675213675213677,0.6152871018572849
crystal_contacts_residue_region_any,9,13,16.0,15.23076923076923,16.0,16.0,0.76923076923077,-0.11965811965811966,0.6414833222324259
crystal_contacts_atom_region_any_per_1k_region_atoms,9,13,863.5421575289163,869.6719661350079,903.6144578313252,930.232558139535,-6.129808606091615,-0.03418803418803419,0.9200766285689823
crystal_contacts_residue_region_any_per_1k_region_atoms,9,13,177.34935778399552,181.67719024386662,192.77108433734938,192.77108433734938,-4.327832459871104,-0.23931623931623933,0.35494142855214916
interface_bsa_top_images_sum,9,13,594.6695147164537,712.9455211009406,589.9735283415812,763.559783675315,-118.27600638448689,-0.1794871794871795,0.5042736753035878
interface_bsa_top_images_mean,9,13,198.22317157215124,250.83627534336242,196.65784278052706,254.51992789177166,-52.61310377121117,-0.21367521367521367,0.42293676385905665
interface_bsa_top_image_max,9,13,435.1483712628573,540.0416909169663,494.8329395058836,635.7082656905202,-104.893319654109,-0.21367521367521367,0.42293676385905665
interface_region_bsa_top_images_sum,9,13,114.71085962911437,202.95370143890162,0.0,252.92098323045317,-88.24284180978725,-0.4017094017094017,0.11857809624965811
interface_region_bsa_top_images_mean,9,13,38.23695320970479,68.99433809174947,0.0,84.30699441015106,-30.757384882044683,-0.4017094017094017,0.11857809624965811
interface_region_bsa_top_image_max,9,13,114.71085962911437,202.6919140835595,0.0,252.92098323045317,-87.98105445444514,-0.4017094017094017,0.11857809624965811
region_sasa_sum,9,13,656.7712893770686,692.9650902186805,694.5609084025098,699.4278757890064,-36.19380084161196,-0.24786324786324787,0.34984355386886234
region_sasa_mean_atom,9,13,7.947824278254529,8.348976990586511,8.36820371569289,8.426841876975981,-0.4011527123319816,-0.24786324786324787,0.34984355386886234
region_sasa_median_atom,9,13,1.3131073955753743,1.5367436990828904,1.5718444359294372,1.6254111592053713,-0.22363630350751618,-0.28205128205128205,0.285318068487978
